calc_days,data_well_name_id,total_fluid_bpd
17.292,COOPER 12H,6504
17.292,COOPER 14H,5760
17.333,COOPER 12H,6408
17.333,COOPER 14H,5712
17.375,COOPER 12H,6456
17.375,COOPER 14H,5736
17.417,COOPER 12H,6432
17.417,COOPER 14H,5664
17.458,COOPER 12H,6480
17.458,COOPER 14H,5616
17.500,COOPER 12H,6408
17.500,COOPER 14H,5472
17.542,COOPER 12H,6432
17.542,COOPER 14H,5472
17.583,COOPER 12H,6456
17.583,COOPER 14H,5424
17.625,COOPER 12H,6432
17.625,COOPER 14H,5400
17.667,COOPER 12H,6360
17.667,COOPER 14H,5352
17.708,COOPER 12H,6408
17.708,COOPER 14H,5352
17.750,COOPER 12H,6360
17.750,COOPER 14H,5376
17.792,COOPER 12H,6384
17.792,COOPER 14H,5328
17.833,COOPER 12H,6336
17.833,COOPER 14H,5328
17.875,COOPER 12H,6264
17.875,COOPER 14H,5376
17.917,COOPER 12H,6192
17.917,COOPER 14H,5328
17.958,COOPER 12H,6408
17.958,COOPER 14H,5280
18.000,COOPER 12H,6504
18.000,COOPER 14H,5232
18.042,COOPER 12H,6648
18.042,COOPER 14H,5184
18.083,COOPER 12H,6696
18.083,COOPER 14H,5232
18.125,COOPER 12H,6672
18.125,COOPER 14H,5208
18.167,COOPER 12H,6648
18.167,COOPER 14H,5160
18.208,COOPER 12H,6648
18.208,COOPER 14H,5160
18.250,COOPER 12H,6600
18.250,COOPER 14H,5112
18.292,COOPER 12H,6648
18.292,COOPER 14H,5040
18.333,COOPER 12H,6648
18.333,COOPER 14H,5040
18.375,COOPER 12H,6624
18.375,COOPER 14H,5088
18.417,COOPER 12H,6624
18.417,COOPER 14H,5040
18.458,COOPER 12H,6600
18.458,COOPER 14H,5040
18.500,COOPER 12H,6600
18.500,COOPER 14H,5064
18.542,COOPER 12H,6624
18.542,COOPER 14H,5016
18.583,COOPER 12H,6576
18.583,COOPER 14H,5016
18.625,COOPER 14H,5016
18.667,COOPER 14H,5040
18.708,COOPER 14H,4992
18.750,COOPER 14H,4992
18.792,COOPER 14H,4968
18.833,COOPER 14H,4968
18.875,COOPER 14H,4944
18.917,COOPER 14H,4920
18.958,COOPER 14H,4824
19.000,COOPER 14H,4848
19.042,COOPER 14H,4752
19.083,COOPER 14H,4800
19.125,COOPER 14H,4776
19.167,COOPER 14H,4704
19.208,COOPER 14H,4704
19.250,COOPER 14H,4656
19.292,COOPER 14H,4656
19.333,COOPER 14H,4632
19.375,COOPER 14H,4632
19.417,COOPER 14H,4584
19.458,COOPER 14H,4608
19.500,COOPER 14H,4608
19.542,COOPER 14H,4560
19.583,COOPER 14H,4608
19.625,COOPER 14H,4560
19.667,COOPER 14H,4512
19.708,COOPER 14H,4560
19.750,COOPER 14H,4488
19.792,COOPER 14H,4536
19.833,COOPER 14H,4488
