Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 10:57:24 AM,20.912,1.517,1008.579,100
Example 1h,5/22/2019 10:57:29 AM,20.912,1.503,1008.123,100
Example 1h,5/22/2019 10:57:34 AM,20.912,1.474,1008.226,100
Example 1h,5/22/2019 10:57:39 AM,20.912,1.493,1008.507,100
Example 1h,5/22/2019 10:57:44 AM,20.912,1.521,1008.798,100
Example 1h,5/22/2019 10:57:49 AM,20.912,1.535,1008.528,100
Example 1h,5/22/2019 10:57:54 AM,20.912,1.501,1008.105,100
Example 1h,5/22/2019 10:57:59 AM,20.912,1.478,1008.481,100
Example 1h,5/22/2019 10:58:04 AM,20.912,1.509,1008.888,100
Example 1h,5/22/2019 10:58:09 AM,20.912,1.545,1008.833,100
Example 1h,5/22/2019 10:58:14 AM,20.912,1.543,1008.587,100
Example 1h,5/22/2019 10:58:19 AM,20.912,1.507,1008.025,100
Example 1h,5/22/2019 10:58:24 AM,20.912,1.462,1007.945,100
Example 1h,5/22/2019 10:58:29 AM,20.912,1.435,1007.936,100
Example 1h,5/22/2019 10:58:34 AM,20.912,1.423,1007.893,100
Example 1h,5/22/2019 10:58:39 AM,20.912,1.442,1008.519,100
Example 1h,5/22/2019 10:58:44 AM,20.912,1.487,1008.677,100
Example 1h,5/22/2019 10:58:49 AM,20.912,1.523,1008.9,100
Example 1h,5/22/2019 10:58:54 AM,20.912,1.574,1009.198,100
Example 1h,5/22/2019 10:58:59 AM,20.912,1.6,1009.027,100
Example 1h,5/22/2019 10:59:04 AM,20.912,1.599,1009.114,100
Example 1h,5/22/2019 10:59:09 AM,20.912,1.594,1008.827,100
Example 1h,5/22/2019 10:59:14 AM,20.912,1.593,1009.143,100
Example 1h,5/22/2019 10:59:19 AM,20.912,1.585,1008.586,100
Example 1h,5/22/2019 10:59:24 AM,20.912,1.551,1008.525,100
Example 1h,5/22/2019 10:59:29 AM,20.912,1.571,1009.143,100
